area_type,availability,location,total_sqft,bath,balcony,price,BHK,price_per_sqft,SqftClean,price_per_sqft_new,Availability_Year,Availability_Month,IsOutlier
Super built-up  Area,Ready To Move,6Th Phase Jp Nagar,1460.0,2.0,0.0,80.0,2,5479.45205479452,1460.0,5479.45205479452,9999,99,0
Super built-up  Area,Ready To Move,6Th Phase Jp Nagar,2003.0,3.0,3.0,200.0,3,9985.022466300548,2003.0,9985.022466300548,9999,99,0
Super built-up  Area,Ready To Move,6Th Phase Jp Nagar,1810.0,3.0,3.0,131.0,3,7237.56906077348,1810.0,7237.5690607734805,9999,99,0
Super built-up  Area,Ready To Move,6Th Phase Jp Nagar,1515.0,2.0,2.0,135.0,3,8910.89108910891,1515.0,8910.89108910891,9999,99,0
Super built-up  Area,Ready To Move,6Th Phase Jp Nagar,1192.0,2.0,3.0,75.0,2,6291.946308724832,1192.0,6291.946308724832,9999,99,0
Super built-up  Area,Ready To Move,6Th Phase Jp Nagar,1280.0,2.0,1.0,88.0,2,6875.0,1280.0,6875.0,9999,99,0
Built-up  Area,Ready To Move,7Th Phase Jp Nagar,1080.0,2.0,2.0,72.0,2,6666.666666666667,1080.0,6666.666666666667,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1270.0,2.0,2.0,93.0,2,7322.834645669292,1270.0,7322.834645669292,9999,99,0
Built-up  Area,Ready To Move,7Th Phase Jp Nagar,1420.0,2.0,1.0,100.0,3,7042.2535211267605,1420.0,7042.2535211267605,9999,99,0
Built-up  Area,Ready To Move,7Th Phase Jp Nagar,1850.0,3.0,1.0,150.0,3,8108.108108108108,1850.0,8108.108108108108,9999,99,0
Built-up  Area,Ready To Move,7Th Phase Jp Nagar,1245.0,2.0,1.0,94.0,2,7550.2008032128515,1245.0,7550.2008032128515,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1175.0,2.0,1.0,82.0,2,6978.723404255319,1175.0,6978.723404255319,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1400.0,2.0,1.0,95.0,3,6785.714285714285,1400.0,6785.714285714285,9999,99,0
Super built-up  Area,19-Dec,7Th Phase Jp Nagar,2225.0,3.0,1.0,160.0,3,7191.011235955056,2225.0,7191.011235955056,2019,12,0
Built-up  Area,Ready To Move,7Th Phase Jp Nagar,1050.0,2.0,1.0,71.0,2,6761.9047619047615,1050.0,6761.9047619047615,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1100.0,2.0,0.0,46.0,2,4181.818181818182,1100.0,4181.818181818182,9999,99,0
Built-up  Area,Ready To Move,7Th Phase Jp Nagar,918.0,2.0,1.0,50.49,2,5500.0,918.0,5500.0,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1450.0,2.0,1.0,100.0,3,6896.551724137931,1450.0,6896.551724137931,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1190.0,2.0,1.0,49.98,2,4200.0,1190.0,4200.0,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1420.0,2.0,2.0,96.0,3,6760.56338028169,1420.0,6760.56338028169,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1680.0,3.0,2.0,120.0,3,7142.857142857143,1680.0,7142.857142857143,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,980.0,2.0,2.0,69.0,2,7040.816326530612,980.0,7040.816326530612,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1180.0,2.0,2.0,72.0,2,6101.6949152542375,1180.0,6101.6949152542375,9999,99,0
Built-up  Area,Ready To Move,7Th Phase Jp Nagar,1400.0,3.0,1.0,115.0,3,8214.285714285714,1400.0,8214.285714285714,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1270.0,2.0,1.0,83.0,2,6535.433070866142,1270.0,6535.433070866142,9999,99,0
Super built-up  Area,19-Dec,7Th Phase Jp Nagar,2503.0,4.0,0.0,188.0,4,7510.986815821015,2503.0,7510.986815821015,2019,12,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,2200.0,3.0,2.0,190.0,3,8636.363636363636,2200.0,8636.363636363636,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1575.0,2.0,2.0,110.0,3,6984.126984126984,1575.0,6984.126984126984,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1850.0,3.0,2.0,140.0,3,7567.567567567567,1850.0,7567.5675675675675,9999,99,0
Built-up  Area,Ready To Move,7Th Phase Jp Nagar,1575.0,2.0,2.0,120.0,3,7619.047619047619,1575.0,7619.047619047619,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1850.0,3.0,2.0,150.0,3,8108.108108108108,1850.0,8108.108108108108,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1680.0,3.0,2.0,120.0,3,7142.857142857143,1680.0,7142.857142857143,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1175.0,2.0,2.0,82.5,2,7021.276595744681,1175.0,7021.276595744681,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1215.0,2.0,2.0,90.0,2,7407.407407407408,1215.0,7407.407407407408,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1050.0,2.0,1.0,75.0,2,7142.857142857143,1050.0,7142.857142857143,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1300.0,3.0,2.0,89.13,3,6856.153846153846,1300.0,6856.153846153846,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1130.0,2.0,2.0,73.0,2,6460.1769911504425,1130.0,6460.1769911504425,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1450.0,3.0,2.0,100.0,3,6896.551724137931,1450.0,6896.551724137931,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1050.0,2.0,1.0,50.0,2,4761.9047619047615,1050.0,4761.9047619047615,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1275.0,2.0,1.0,87.0,2,6823.529411764706,1275.0,6823.529411764706,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1650.0,3.0,2.0,110.0,3,6666.666666666667,1650.0,6666.666666666667,9999,99,0
Built-up  Area,Ready To Move,7Th Phase Jp Nagar,850.0,2.0,2.0,42.0,2,4941.176470588235,850.0,4941.176470588235,9999,99,0
Built-up  Area,Ready To Move,7Th Phase Jp Nagar,1680.0,3.0,2.0,117.0,3,6964.285714285715,1680.0,6964.285714285715,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1850.0,3.0,1.0,150.0,3,8108.108108108108,1850.0,8108.108108108108,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1236.0,2.0,2.0,61.33,2,4961.974110032363,1236.0,4961.974110032363,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1000.0,2.0,2.0,53.0,2,5300.0,1000.0,5300.0,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1680.0,3.0,2.0,125.0,3,7440.476190476191,1680.0,7440.476190476191,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1675.0,2.0,2.0,135.0,3,8059.701492537313,1675.0,8059.701492537313,9999,99,0
Super built-up  Area,19-Jan,7Th Phase Jp Nagar,1187.0,2.0,1.0,59.0,2,4970.513900589722,1187.0,4970.513900589722,2019,1,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1850.0,3.0,2.0,155.0,3,8378.378378378378,1850.0,8378.378378378378,9999,99,0
Built-up  Area,Ready To Move,7Th Phase Jp Nagar,1000.0,2.0,1.0,61.0,2,6100.0,1000.0,6100.0,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1460.0,2.0,2.0,100.0,3,6849.315068493151,1460.0,6849.315068493151,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1650.0,3.0,3.0,110.0,3,6666.666666666667,1650.0,6666.666666666667,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1200.0,2.0,2.0,62.5,2,5208.333333333333,1200.0,5208.333333333333,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1000.0,2.0,1.0,70.65,2,7065.000000000001,1000.0,7065.000000000001,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1080.0,2.0,2.0,75.0,2,6944.444444444444,1080.0,6944.444444444444,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1680.0,3.0,3.0,125.0,3,7440.476190476191,1680.0,7440.476190476191,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1460.0,2.0,1.0,97.0,3,6643.835616438356,1460.0,6643.835616438356,9999,99,0
Built-up  Area,Ready To Move,7Th Phase Jp Nagar,1120.0,2.0,2.0,65.0,2,5803.571428571428,1120.0,5803.571428571428,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1100.0,3.0,1.0,60.0,2,5454.545454545455,1100.0,5454.545454545455,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1790.0,3.0,3.0,120.0,3,6703.91061452514,1790.0,6703.91061452514,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1680.0,3.0,2.0,117.0,3,6964.285714285715,1680.0,6964.285714285715,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1050.0,2.0,1.0,77.0,2,7333.333333333333,1050.0,7333.333333333333,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1050.0,2.0,1.0,75.0,2,7142.857142857143,1050.0,7142.857142857143,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1040.0,2.0,1.0,75.0,2,7211.538461538462,1040.0,7211.538461538462,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1400.0,2.0,1.0,95.0,3,6785.714285714285,1400.0,6785.714285714285,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1800.0,3.0,2.0,130.0,3,7222.222222222223,1800.0,7222.222222222223,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1050.0,2.0,0.0,68.0,2,6476.190476190476,1050.0,6476.190476190476,9999,99,0
Built-up  Area,Ready To Move,7Th Phase Jp Nagar,1000.0,2.0,2.0,60.0,2,6000.0,1000.0,6000.0,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1680.0,3.0,2.0,125.0,3,7440.476190476191,1680.0,7440.476190476191,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1050.0,2.0,1.0,77.47,2,7378.0952380952385,1050.0,7378.0952380952385,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1270.0,2.0,1.0,80.0,2,6299.212598425197,1270.0,6299.212598425197,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1680.0,3.0,2.0,122.0,3,7261.9047619047615,1680.0,7261.9047619047615,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1130.0,2.0,2.0,85.0,2,7522.123893805309,1130.0,7522.123893805309,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1680.0,3.0,3.0,130.0,3,7738.0952380952385,1680.0,7738.0952380952385,9999,99,0
Built-up  Area,Ready To Move,7Th Phase Jp Nagar,980.0,2.0,1.0,77.44,2,7902.040816326531,980.0,7902.040816326531,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1680.0,3.0,2.0,112.0,3,6666.666666666667,1680.0,6666.666666666667,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,2095.0,3.0,2.0,150.0,3,7159.904534606205,2095.0,7159.904534606205,9999,99,0
Super built-up  Area,19-Dec,7Th Phase Jp Nagar,1976.0,3.0,1.0,145.0,3,7338.056680161943,1976.0,7338.056680161943,2019,12,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1600.0,2.0,2.0,110.0,3,6875.0,1600.0,6875.0,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1765.0,3.0,2.0,118.0,3,6685.552407932011,1765.0,6685.552407932011,9999,99,0
Built-up  Area,Ready To Move,7Th Phase Jp Nagar,1275.0,2.0,2.0,88.0,3,6901.9607843137255,1275.0,6901.9607843137255,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1450.0,2.0,1.0,102.0,3,7034.482758620689,1450.0,7034.482758620689,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1575.0,2.0,2.0,110.0,3,6984.126984126984,1575.0,6984.126984126984,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,750.0,1.0,2.0,47.0,1,6266.666666666667,750.0,6266.666666666667,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,990.0,2.0,2.0,50.0,2,5050.50505050505,990.0,5050.50505050505,9999,99,0
Plot  Area,Ready To Move,7Th Phase Jp Nagar,1000.0,1.0,1.0,60.0,1,6000.0,1000.0,6000.0,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1430.0,2.0,1.0,102.0,3,7132.867132867133,1430.0,7132.867132867133,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1128.0,2.0,1.0,60.0,2,5319.148936170212,1128.0,5319.148936170212,9999,99,0
Built-up  Area,Ready To Move,7Th Phase Jp Nagar,1140.0,2.0,1.0,57.0,2,5000.0,1140.0,5000.0,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1420.0,3.0,2.0,90.0,3,6338.028169014085,1420.0,6338.028169014085,9999,99,0
Super built-up  Area,Ready To Move,7Th Phase Jp Nagar,1530.0,2.0,1.0,108.0,2,7058.823529411765,1530.0,7058.823529411765,9999,99,0
Super built-up  Area,19-Mar,8Th Phase Jp Nagar,1073.5,2.0,0.0,54.005,2,5030.740568234746,1073.5,5030.740568234746,2019,3,0
Super built-up  Area,18-May,8Th Phase Jp Nagar,451.0,1.0,0.0,29.9,1,6629.711751662971,451.0,6629.711751662971,2018,5,0
Super built-up  Area,Ready To Move,8Th Phase Jp Nagar,1062.0,2.0,1.0,42.47,2,3999.058380414313,1062.0,3999.0583804143125,9999,99,0
Super built-up  Area,20-Mar,8Th Phase Jp Nagar,1455.0,3.0,2.0,73.31,3,5038.487972508591,1455.0,5038.487972508591,2020,3,0
Super built-up  Area,Ready To Move,8Th Phase Jp Nagar,871.0,2.0,2.0,55.0,2,6314.580941446613,871.0,6314.580941446613,9999,99,0
Super built-up  Area,Ready To Move,8Th Phase Jp Nagar,1098.0,2.0,1.0,43.91,2,3999.089253187614,1098.0,3999.089253187614,9999,99,0
Super built-up  Area,Ready To Move,8Th Phase Jp Nagar,1800.0,3.0,1.0,80.0,3,4444.444444444444,1800.0,4444.444444444444,9999,99,0
Built-up  Area,Ready To Move,8Th Phase Jp Nagar,2700.0,4.0,2.0,130.0,4,4814.814814814815,2700.0,4814.814814814815,9999,99,0
Super built-up  Area,18-Oct,8Th Phase Jp Nagar,1080.0,2.0,2.0,38.0,2,3518.5185185185187,1080.0,3518.5185185185187,2018,10,0
Super built-up  Area,18-Jan,8Th Phase Jp Nagar,1059.0,2.0,2.0,34.5,2,3257.790368271955,1059.0,3257.790368271955,2018,1,0
Super built-up  Area,18-Jun,8Th Phase Jp Nagar,1080.0,2.0,2.0,35.0,2,3240.740740740741,1080.0,3240.740740740741,2018,6,0
Super built-up  Area,Ready To Move,8Th Phase Jp Nagar,1062.0,2.0,1.0,42.47,2,3999.058380414313,1062.0,3999.0583804143125,9999,99,0
Super built-up  Area,18-Jul,8Th Phase Jp Nagar,500.0,1.0,1.0,31.0,1,6200.0,500.0,6200.0,2018,7,0
Super built-up  Area,18-Jun,8Th Phase Jp Nagar,1100.0,2.0,2.0,35.0,2,3181.818181818182,1100.0,3181.818181818182,2018,6,0
Super built-up  Area,Ready To Move,8Th Phase Jp Nagar,2100.0,4.0,3.0,92.0,4,4380.952380952381,2100.0,4380.952380952381,9999,99,0
Super built-up  Area,Ready To Move,8Th Phase Jp Nagar,1035.0,2.0,1.0,39.33,2,3800.0,1035.0,3800.0,9999,99,0
Super built-up  Area,Ready To Move,8Th Phase Jp Nagar,909.0,2.0,1.0,40.9,2,4499.4499449945,909.0,4499.4499449945,9999,99,0
Super built-up  Area,19-Mar,8Th Phase Jp Nagar,1431.5,3.0,0.0,72.02,3,5031.086273140063,1431.5,5031.086273140063,2019,3,0
